plu;kd_brg;tipe;nm_brg;mobil ;nm_grup;kms1;isi;h_beli;h_jual1;foto;merk
1003148;RIL;YA;POMPA SOLAR ME-121646M;;DUDUKAN POMPA SOLAR;PCS;1;350000;475000;;UTM
1003149;KUL;YA;DUDKAN POMPA SOLAR ME056229;;DUDUKAN POMPA SOLAR;PCS;1;120000;275000;;UTM
1003150;LANA;YA;DUDUKAN POMPA SOLAR 8-98319-922;;DUDUKAN POMPA SOLAR;PCS;1;142000;285000;;IZUZU
1003151;A;YA;SEAL REM 013-01500;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003152;A;YA;SEAL REM 010-07059;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003153;G;YA;SEAL REM JP-1500R;;SEAL REM ;PCS;1;8000;15000;;BIRKENS
1003154;G;YA;SEAL REM SC-47546;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003155;A;YA;SEAL REM 010-80413R;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003156;G;YA;SEAL REM JP-80413R;;SEAL REM ;PCS;1;8000;15000;;BIRKENS
1003157;G;YA;SEAL REM SC 20233;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003158;G;YA        ;SEAL REM SC 4521;;SEAL REM            ;PCS       ;1;8000;15000;;SEIKEN                                                                                              
1003159;I;YA        ;AIR AKI BESAR BIRU;;AIR AKI             ;LT        ;1;5000;10000;;CAHAYA                                                                                              
1003160;I;YA        ;AIR AKI KECIL MERAH;;AIR AKI             ;LT        ;1;5000;10000;;CAHAYA                                                                                              
1003161;R;YA        ;AIR AKI KECIL BIRU;;AIR AKI             ;LT        ;1;3125;6000;;CAHAYA                                                                                              
1003162;KRL;YA; LAHER KOPEL MB563234;;LAHER GANTUNG;PCS;1;130000;235000;;MITSUDA 
1003163;DG;YA;KARET KOPEL M1-6320410 P-1100;;KARET KOPEL;PCS;1;48000;150000;;ASPIRA
1003164;UGG;YA;LAHER KOPEL GANTUNG ASSY/KOMPIT PS-100;;LAHER GANTUNG;PCS;1;288000;450000;;HEIKER
1003165;KKG;YA;LAHER KOPEL GANTUNG PS.100;;LAHER GANTUNG;PCS;1;118000;175000;;HEIKER
1003166;RTL;YA;LAHER KOPEL 02410-70960;;LAHER GANTUNG;PCS;1;360000;650000;;WAKASA 
1003167;;YA;WHEEL CYLINDER NEPEL WCMP-032;;SILINDER RODA REM   ;PCS ;1;105000;185000;;ADVIOS                                                   
1003168;UEI;YA        ;LAHER+KARET KOPEL GANTUNG MC-802775;;KARET KOPEL         ;PCS       ;1;275000;480000;C:\USERS\KASIR\DOWNLOADS\LAHER+KARET KOPEL GANTUNG MC-802775.JPG;WAKASA                                                                                              
1003169;RRT;YA;LAHER KOPEL MC-881042;;LAHER GANTUNG;PCS;1;336000;550000;;HEIKER
1003170;AU;YA        ;KARET KOPEL 11310-50890;;KARET KOPEL         ;PCS       ;1;92000;175000;C:\USERS\KASIR\DOWNLOADS\KARET KOPEL 11310-50890.JPG;WAKASA                                                                                              
1003171;UAL;YA;LAHER+KARET KOPEL 16-98020880-1;;LAHER GANTUNG;PCS;1;290000;450000;;IZUZU
1003172;RKG;YA;LAHER+KARET KOPEL GANTUNG H-HNCB-007 ;;LAHER GANTUNG;PCS;1;318000;550000;;HEIKER
1003173;RIA;YA;LAHER+KARET KOPEL GANTUNG H-HNCB-005 37590-1182;;LAHER GANTUNG;PCS;1;359000;585000;;HEIKER
1003174;IIR;YA;LAHER+KARET KOPEL GANTUNG H-NCB002 ;;LAHER GANTUNG;PCS;1;553000;875000;;HEIKER
1003175;RKT;YA;LAHER GANTUNG 02410-70910;;LAHER GANTUNG;PCS;1;316000;575000;;WAKASA 
1003176;UAA;YA;LAHER+KARET KOPEL 37510-90060;;LAHER GANTUNG;PCS;1;299000;575000;;MITSUDA 
1003177;RTU;YA;LAHER+KARET KOPEL GANTUNG 02410-60980;;LAHER GANTUNG;PCS;1;362000;675000;;WAKASA 
1003178;RGD;YA;LAHER+KARET KOPEL 02410908E0;;LAHER GANTUNG;PCS;1;384000;575000;;WAKASA 
1003179;ET;YA;KARET KOPEL 11310-419E0;;KARET KOPEL;PCS;1;76000;135000;;WAKASA 
1003180;ET;YA;KARET KOPEL 11310-41950;;KARET KOPEL;PCS;1;76000;135000;;WAKASA 
1003181;IT;YA        ;KARET KOPEL 11310-908E0;;KARET KOPEL         ;PCS       ;1;56000;125000;;WAKASA                                                                                              
1003182;DG;YA;KARET KOPEL 11310-90880;;KARET KOPEL;PCS;1;48000;100000;;WAKASA 
1003183;RUI;YA;LAHER+KARET KOPEL 37230-190;;LAHER GANTUNG;PCS;1;325000;650000;;TOYOTA
1003184;ELT;YA;LAHER+KARET KOPEL GANTUNG H-HNCB-003 37230-1190;;LAHER GANTUNG;PCS;1;706000;985000;;HEIKER
1003185;KLL;YA;FILTER SOLAR 23401-1222L;;F.SOLAR;PCS;1;100000;185000;;HOP
1003186;GI;YA        ;FILTER SOLAR 23304-JAC70 HINO 500;;F.SOLAR             ;PCS       ;1;85000;155000;;HOP                                                                                                 
1003187;UUI;YA;FILTER SOLAR 23390-JAA10;;F.SOLAR;PCS;1;255000;350000;;HOP
1003188;DL;YA;FILTER SOLAR JFC-14002;;F.SOLAR;PCS;1;40000;75000;;JIMCO
1003189;DI;YA        ;FILTER SOLAR FC-1804;;F.SOLAR             ;PCS       ;1;45000;80000;;SAKURA                                                                                              
1003190;DL;YA;FILTER SOLAR F-1803;;F.SOLAR;PCS;1;40000;75000;;SAKURA
1003191;II;YA;FILTER SOLAR FC-1001 ;;F.SOLAR BAWAH;PCS;1;55000;95000;;SAKURA
1003192;IE;YA;FILTER SOLAR 18-9815963-A;;F.SOLAR;PCS;1;75000;95000;;ISUZU
1003193;KUR;YA        ;FILTER SOLAR 18-98092481-A;;F.SOLAR             ;PCS       ;1;122500;195000;;ISUZU                                                                                               
1003194;AR;YA;FILTER SOLAR 18-98319912-A;;F.SOLAR;PCS;1;93000;165000;;ISUZU
1003195;KLI;YA;FILTER SOLAR 18-97653013-A;;F.SOLAR;PCS;1;112503;210000;;ISUZU
1003196;KDR;YA;FILTER SOLAR 1770A478A;;F.SOLAR;PCS;1;134000;250000;;MMKSI
1003197;KLU;YA;FILTER SOLARMB220900 L300;;F.SOLAR BAWAH;PCS;1;102000;150000;;MITSHUBISHI
1003198;RI;YA;FILTER SOLAR 16-13240023-O;;F.SOLAR;PCS;1;35000;70000;;ISUZU
1003199;RI;YA        ;FILTER SOLAR 16-97172549-0 NKR 71 E2;;F.SOLAR             ;PCS       ;1;32000;70000;;ISUZU                                                                                               
1003200;TU;YA        ;FILTER SOLAR ATAS  ME035829;;F.SOLAR F CANTER ATA;PCS       ;1;61200;105000;;MITSHUBISHI KTB                                                                                     
1003201;RT;YA        ;FILTER SOLAR FC-1003;;F.SOLAR             ;PCS       ;1;35500;65000;;SAKURA                                                                                              
1003202;GE;YA;FILTER SOLAR JFE-14003;;F.SOLAR;PCS;1;87000;135000;;JIMCO
1003203;RE;YA;FILTER SOLAR JFF-14000;;F.SOLAR;PCS;1;37000;55000;;JIMCO
1003204;RI;YA;FILTER SOLARJFE-14004;;F.SOLAR;PCS;1;35000;65000;;JIMCO
1003205;DD;YA        ;FILTER OLI 16-13211018-O;;F.OIL               ;PCS       ;1;44000;95000;D:\FILTER OLI 16-13211018-O.JPG;ISUZU                                                                                               
1003206;RT;YA        ;FILTER OLI 16-97329911-O;;F.OIL               ;PCS       ;1;36000;85000;D:\FILTER OLI 16-97329911-O.JPG;ISUZU                                                                                               
1003207;DI;YA        ;FILTER SOLAR F-1805;;F.SOLAR             ;PCS       ;1;45000;115000;;SAKURA                                                                                              
1003208;TL;YA;FILTER SOLAR FC-1805;;F.SOLAR;PCS;1;60000;110000;;SAKURA
