"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1003130","SEAL REM 47575","SEAL REM 47575","SEIKEN","1003130","15000","","aftermarket","","",""
"1003131","SEAL REM 013-30023","SEAL REM 013-30023","SEIKEN","1003131","20000","","aftermarket","","",""
"1003132","SEAL REM 010-50123","SEAL REM 010-50123","SEIKEN","1003132","25000","","aftermarket","","",""
"1003133","SEAL REM 010-47593","SEAL REM 010-47593","SEIKEN","1003133","20000","","aftermarket","","",""
"1003134","SEAL ABUPS100/PS120","SEAL ABUPS100/PS120","SEIKEN","1003134","15000","","aftermarket","","",""
"1003135","SEAL ABU NISSAN ","SEAL ABU NISSAN ","SEIKEN","1003135","15000","","aftermarket","","",""
"1003137","SEAL REM 010-30233","SEAL REM 010-30233","SEIKEN","1003137","20000","","aftermarket","","",""
"1003138","SEAL REM 013-30023","SEAL REM 013-30023","SEIKEN","1003138","20000","","aftermarket","","",""
"1003139","RUMAH POMPA SOLAR 23105-608HO","RUMAH POMPA SOLAR 23105-608HO","WAKASA","1003139","275000","","aftermarket","","",""
"1003140","POMPA SOLAR MB129677","POMPA SOLAR MB129677","UTM","1003140","275000","","aftermarket","","",""
"1003141","POMPA SOLAR 5-13220220-6","POMPA SOLAR 5-13220220-6","STECKER","1003141","450000","","aftermarket","","",""
"1003142","POMPA SOLAR 08130-60931","POMPA SOLAR 08130-60931","WAKASA","1003142","165000","","aftermarket","","",""
"1003143","POMPA SOLAR 08130-60930","POMPA SOLAR 08130-60930","WAKASA","1003143","150000","","aftermarket","","",""
"1003144","POMPA SOLAR 02415-60430","POMPA SOLAR 02415-60430","WAKASA","1003144","145000","","aftermarket","","",""
"1003145","POMPA SOLAR 13-30664700-A","POMPA SOLAR 13-30664700-A","IZUZU","1003145","325000","","aftermarket","","",""
"1003146","DUDUKAN POMPA SOLAR 23310-1660","DUDUKAN POMPA SOLAR 23310-1660","UTM","1003146","225000","","aftermarket","","",""
"1003147","POMPA SOLAR 18-98319911-A","POMPA SOLAR 18-98319911-A","IZUZU","1003147","385000","","aftermarket","","",""
"1003148","POMPA SOLAR ME-121646M","POMPA SOLAR ME-121646M","UTM","1003148","475000","","aftermarket","","",""
"1003149","DUDKAN POMPA SOLAR ME056229","DUDKAN POMPA SOLAR ME056229","UTM","1003149","275000","","aftermarket","","",""
"1003150","DUDUKAN POMPA SOLAR 8-98319-922","DUDUKAN POMPA SOLAR 8-98319-922","IZUZU","1003150","285000","","aftermarket","","",""
"1003151","SEAL REM 013-01500","SEAL REM 013-01500","SEIKEN","1003151","20000","","aftermarket","","",""
"1003152","SEAL REM 010-07059","SEAL REM 010-07059","SEIKEN","1003152","20000","","aftermarket","","",""
"1003153","SEAL REM JP-1500R","SEAL REM JP-1500R","BIRKENS","1003153","15000","","aftermarket","","",""
"1003154","SEAL REM SC-47546","SEAL REM SC-47546","SEIKEN","1003154","15000","","aftermarket","","",""
"1003155","SEAL REM 010-80413R","SEAL REM 010-80413R","SEIKEN","1003155","20000","","aftermarket","","",""
"1003156","SEAL REM JP-80413R","SEAL REM JP-80413R","BIRKENS","1003156","15000","","aftermarket","","",""
"1003157","SEAL REM SC 20233","SEAL REM SC 20233","SEIKEN","1003157","15000","","aftermarket","","",""
"1003158","SEAL REM SC 4521","SEAL REM SC 4521","SEIKEN","1003158","15000","","aftermarket","","",""
"1003159","AIR AKI BESAR BIRU","AIR AKI BESAR BIRU","CAHAYA","1003159","10000","","aftermarket","","",""
"1003160","AIR AKI KECIL MERAH","AIR AKI KECIL MERAH","CAHAYA","1003160","10000","","aftermarket","","",""
"1003161","AIR AKI KECIL BIRU","AIR AKI KECIL BIRU","CAHAYA","1003161","6000","","aftermarket","","",""
"1003162","LAHER KOPEL MB563234","LAHER KOPEL MB563234","MITSUDA","1003162","235000","","aftermarket","","",""
"1003163","KARET KOPEL M1-6320410 P-1100","KARET KOPEL M1-6320410 P-1100","ASPIRA","1003163","150000","","aftermarket","","",""
"1003164","LAHER KOPEL GANTUNG ASSY/KOMPIT PS-100","LAHER KOPEL GANTUNG ASSY/KOMPIT PS-100","HEIKER","1003164","450000","","aftermarket","","",""
"1003165","LAHER KOPEL GANTUNG PS.100","LAHER KOPEL GANTUNG PS.100","HEIKER","1003165","175000","","aftermarket","","",""
"1003166","LAHER KOPEL 02410-70960","LAHER KOPEL 02410-70960","WAKASA","1003166","650000","","aftermarket","","",""
"1003167","WHEEL CYLINDER NEPEL WCMP-032","WHEEL CYLINDER NEPEL WCMP-032","ADVIOS","1003167","185000","","aftermarket","","",""
"1003168","LAHER+KARET KOPEL GANTUNG MC-802775","LAHER+KARET KOPEL GANTUNG MC-802775","WAKASA","1003168","480000","","aftermarket","","",""
"1003169","LAHER KOPEL MC-881042","LAHER KOPEL MC-881042","HEIKER","1003169","550000","","aftermarket","","",""
"1003170","KARET KOPEL 11310-50890","KARET KOPEL 11310-50890","WAKASA","1003170","175000","","aftermarket","","",""
"1003171","LAHER+KARET KOPEL 16-98020880-1","LAHER+KARET KOPEL 16-98020880-1","IZUZU","1003171","450000","","aftermarket","","",""
"1003172","LAHER+KARET KOPEL GANTUNG H-HNCB-007 ","LAHER+KARET KOPEL GANTUNG H-HNCB-007 ","HEIKER","1003172","550000","","aftermarket","","",""
"1003173","LAHER+KARET KOPEL GANTUNG H-HNCB-005 37590-1182","LAHER+KARET KOPEL GANTUNG H-HNCB-005 37590-1182","HEIKER","1003173","585000","","aftermarket","","",""
"1003174","LAHER+KARET KOPEL GANTUNG H-NCB002 ","LAHER+KARET KOPEL GANTUNG H-NCB002 ","HEIKER","1003174","875000","","aftermarket","","",""
"1003175","LAHER GANTUNG 02410-70910","LAHER GANTUNG 02410-70910","WAKASA","1003175","575000","","aftermarket","","",""
"1003176","LAHER+KARET KOPEL 37510-90060","LAHER+KARET KOPEL 37510-90060","MITSUDA","1003176","575000","","aftermarket","","",""
"1003177","LAHER+KARET KOPEL GANTUNG 02410-60980","LAHER+KARET KOPEL GANTUNG 02410-60980","WAKASA","1003177","675000","","aftermarket","","",""
"1003178","LAHER+KARET KOPEL 02410908E0","LAHER+KARET KOPEL 02410908E0","WAKASA","1003178","575000","","aftermarket","","",""
"1003179","KARET KOPEL 11310-419E0","KARET KOPEL 11310-419E0","WAKASA","1003179","135000","","aftermarket","","",""
"1003180","KARET KOPEL 11310-41950","KARET KOPEL 11310-41950","WAKASA","1003180","135000","","aftermarket","","",""
"1003181","KARET KOPEL 11310-908E0","KARET KOPEL 11310-908E0","WAKASA","1003181","125000","","aftermarket","","",""
"1003182","KARET KOPEL 11310-90880","KARET KOPEL 11310-90880","WAKASA","1003182","100000","","aftermarket","","",""
"1003183","LAHER+KARET KOPEL 37230-190","LAHER+KARET KOPEL 37230-190","TOYOTA","1003183","650000","","original","","",""
"1003184","LAHER+KARET KOPEL GANTUNG H-HNCB-003 37230-1190","LAHER+KARET KOPEL GANTUNG H-HNCB-003 37230-1190","HEIKER","1003184","985000","","aftermarket","","",""
"1003185","FILTER SOLAR 23401-1222L","FILTER SOLAR 23401-1222L","HOP","1003185","185000","","aftermarket","","",""
"1003186","FILTER SOLAR 23304-JAC70 HINO 500","FILTER SOLAR 23304-JAC70 HINO 500","HOP","1003186","155000","","aftermarket","","",""
"1003187","FILTER SOLAR 23390-JAA10","FILTER SOLAR 23390-JAA10","HOP","1003187","350000","","aftermarket","","",""
"1003188","FILTER SOLAR JFC-14002","FILTER SOLAR JFC-14002","JIMCO","1003188","75000","","aftermarket","","",""
"1003189","FILTER SOLAR FC-1804","FILTER SOLAR FC-1804","SAKURA","1003189","80000","","aftermarket","","",""
"1003190","FILTER SOLAR F-1803","FILTER SOLAR F-1803","SAKURA","1003190","75000","","aftermarket","","",""
"1003191","FILTER SOLAR FC-1001 ","FILTER SOLAR FC-1001 ","SAKURA","1003191","95000","","aftermarket","","",""
"1003192","FILTER SOLAR 18-9815963-A","FILTER SOLAR 18-9815963-A","ISUZU","1003192","95000","","original","","",""
"1003193","FILTER SOLAR 18-98092481-A","FILTER SOLAR 18-98092481-A","ISUZU","1003193","195000","","original","","",""
"1003194","FILTER SOLAR 18-98319912-A","FILTER SOLAR 18-98319912-A","ISUZU","1003194","165000","","original","","",""
